identifier	pos	stem	morphology	number	case	psx	comment	figurative	grabbing	temporal	existential	non-finite	meaning_fin	predicate	rel_nouns_noun?	form	sentence
0001	NOUN	коласт	коласт-ъяс-ӧд	pl	prl	FALSE								_		коластъясӧд	Тайӧ пӧжарыс зэв ёна действуйтӧ жар дырйи, лунын, а войын мукӧдлатіыс (торъя нин шоч вӧраинті да куш КОЛАСТЪЯСӦД), лысва усьӧм понда да посни мусин вылыс понда, ачыс кусӧ.
0002	ADP	кос	кос-ті	sg	tra	FALSE								_	сэк	кості	Вочасӧн, сэк КОСТІ, куктӧ колӧ велӧдны мукӧд сёянӧ (зӧр пызя юанӧ, абу кӧ сійӧ — ид пызьӧ, позьӧ жмыкӧ, турунӧ, нянь крӧшкиӧ).
0003	ADP	кос	кос-ті	sg	tra	FALSE								_	сэк	кості	Мыськалӧм картупель тупыльтӧ кольӧй 4—5 лун кежӧ шонді водзӧ — тіян картупель тупыльныд сэк КОСТІ вежсяс.
0004	NOUN	шӧр	шӧр-ӧд-ыс	sg	prl	TRUE					TRUE		"""leveys keskeltä"""	_		шӧрӧдыс	Кормӧвӧй проходыс стен пӧлӧн 120 см пасьта ШӦРӦДЫС (кык кормушка костын) 150 см.
0005	ADP	шӧр	шӧр-ті-ыс	sg	tra	TRUE					TRUE		"""pituus keskeltä"""	_	му	шӧртіыс	— Му кытшлысь кузьта верст лыдсӧ кӧ тӧдан, сэки му шӧртас кузьтасӧ (дзик му ШӦРТІЫС, рочӧн шуӧны диаметрӧн) кокни корсьны: колӧ сӧмын му кытш кузьтасӧ юкны 3 да ӧти сизимӧд (1/7) вылӧ.
0006	NOUN	весьт	весьт-ӧд-ыс	sg	prl	TRUE					TRUE		yltä olkiseinät ovat paksumpia (?)	?		весьтӧдыс	Идзас пытшкыс тыртӧм, гоз-мӧдлаын эмӧсь вежӧсъяс, ВЕСЬТӦДЫС идзасыс вежӧсъяс кызджык — йӧзви.
0007	NOUN	лы	лы-ті-ыс	sg	tra	TRUE								?		лытіыс	Пуктан кӧ рушку вомӧныс курӧглы китӧ, юрсяньыс морӧс ЛЫТІЫС да колькъялан лы костъясас бура колькъялан курӧглы бердӧ став ки пыдӧсыд.
0008	NOUN	места	места-ті-ыс	sg	tra	TRUE								?		местатіыс	Сы бӧрын сійӧ жӧ лентаӧн мерайтсьӧ кызта — лентасӧ нуӧдӧны морӧс гӧгӧрыс, шоша шӧр весьттіыс — пӧдпруга МЕСТАТІЫС, водз кок гырддзасьыс 10 сантиметр либӧ ки вомлӧс, бӧрлань.
0009	NOUN	туй	туй-ӧд	sg	prl	FALSE		TRUE					sen luonteinen CHECK	?		туйӧд	Финскӧй скӧтыд, код рӧдысь-вужйысь паськалі и миян скӧтным, кыдзи сійӧ висьталӧма вылынджык, шань и сы ТУЙӦД, мый сетӧ бур нӧк-вый, сук йӧв, уна % гос (жир).
0010	NOUN	туй	туй-ӧд	sg	prl	FALSE								?		туйӧд	Мӧд ТУЙӦД — тайӧ беддяс медводзысь волі вӧчӧма ёсь крук, сэсся та бӧрын вӧчисны кокан, гӧр да медбӧрысь воисны плугйӧдз.
0011	NOUN	туй	туй-ӧд	sg	prl	FALSE								?		туйӧд	Ӧти ТУЙӦД — ёсьтӧм беддьыс быдмис из пома беддьӧ, ичӧтик зыр кодьӧ.
0012	NOUN	пытшкӧс	пытшкӧс-ӧд-ыс	sg	prl	TRUE	Kohdeväylä						lanka on vedetty sisuksista	(сунис) нуӧдӧма		пытшкӧсӧдыс	Видзӧдлан кӧ микроскоп пыр татшӧм сьӧдасьны пондӧм картупель корсӧ, аддзан, мый картупель кор ПЫТШКӦСӦДЫС быттьӧ сунис нуӧдӧма, чукӧрмӧмаӧсь тшакъясыд.
0013	NOUN?	дор	дор-ӧд	sg	prl	FALSE								x		дорӧд	Сёрӧмлӧн кӧ судтаыс 2,8 метрысь джуджыдджык оз ло, зэв удобнӧ вевттьыны ӧти брезентӧн, кодлӧн пасьтаыс вермас видзны зэрысь (сёрӧм вылысь ДОРӦД кӧ ӧшӧдчас на 15–20 см кымын).
0014	NOUN?	дорыш	дорыш-ті-ыс	sg	tra	TRUE								x		дорыштіыс	Сы бӧрын вӧсньыдика ёсьтӧм карандашӧн алидада емладорса ДОРЫШТІЫС, нуӧдӧны веськыд визь, коді пӧперегалӧ юклӧм дача план рамкасӧ, кыдзи петкӧдлӧма схематическӧй чертёж вылын.
